Abbreviation, Statistic Name, Definition
ALCSMVP, ALCS MVP,
NLCSMVP, NLCS MVP,
WSMVP, World Series MVP,
AMVP, AL MVP Award,
NMVP, NL MVP Award,
ACY, AL Cy Young Award,
NCY, NL Cy Young Award,
AHA, AL Hank Aaron Award,
NHA, NL Hank Aaron Award,
BR, Babe Ruth Award,
EM, Edgar Martinez Award,
ABC, AL Batting Champion,
NBC, NL Batting Champion,
APEC, AL Pitching ERA Chamption,
NPEC, NL Pitching ERA Champion,
ARY, AL Rookie of the Year,
NRY, NL Rookie of the Year,
ACPY, AL Comeback Player of the Year,
NCPY, NL Comeback Player of the Year,
Yr, Year,
Tm, Team Name,
Abb, Team Abbreviation,
W, Wins,
L, Losses,
W%, Winning Percentage,
Dv, Division,
Lg, League,
DR, Division Rank,
SnOc, Season Outcome,
Pr, Payroll,
Nm, Name,
Age, Age,
GP, Games played,
PA, Plate Appearances,
AB, At Bats,
R, Runs,
H, Hits,
2B, Doubles,
3B, Triples,
HR, Home Runs,
RBI, Runs Batted In,
BB, Bases on Balls,
SO, Strikeouts,
SB, Stolen Bases,
CS, Caught Stealing,
TB, Total Bases,
O, Outs,
BA, Batting Average,
OBP, On-Base Percentage,
SLG, Slugging Percentage,
OPS, On-base Percentage Plus Slugging Percentage,
RC, Runs Created,
RC/G, Runs Created per game,
ISO, Isolated Power,
SO/W, Strikeouts per Walk,
AB/SO, At Bats per Strikeout,
AB/HR, At Bats per Home Run,
AB/RBI, At Bats per Run Batted In,
SO%, Strikeout Percentage,
BB%, Bases On Balls Percentage,
BIP%, Balls In Play Percentage,
XBH%, Extra Base Hit Percentage,
LD%, Line Drive Percentage,
HR%, Home Run Percentage,
RS%, Run Scoring Percentage,
SB%, Stolen Base Percentage,
BAbip, Batting Average on Balls In Play,
OPS+, On-base Percentage Plus Slugging Percentage Plus,
WAR, Wins Above Replacement,
oWAR, Offensive Wins Above Replacement,
dWAR, Defensive Wins Aabove Replacement,
RAA, Runs Above Average,
RAR, Runs Above Replacement,
oRAR, Offensive Runs Above Replacement,
rOBA, Player Total Offensive Contributions,
P, Plays Included in Win Probability Added,
WPAo, Win Probability Added by Offensive Player,
WPA+, Win Probability Added,
WPA-, Win Probability Subtracted,
aLI, Average Leverage Index,
WPA/LI, Situational Wins,
GS, Games Started,
CG, Complete Games,
IP, Innings played,
PO, Putouts,
A, Assists,
E, Errors,
DC, Defensive Chances,
Fld%, Fielding Percentage,
FRAA, Total Fielding Runs Above Average,
DRSAA, Defensive Runs Saved Above Average,
RF/9, Range Factor per 9 Innings,
RF/G, Range Factor per game,
Pos, Position(s),
ERA, Earned Runs Average,
GF, Games Finished,
SHO, Shutouts,
SV, Saves,
BF, Batters Faced,
HA, Hits allowed,
RA, Runs allowed,
HRA, Home Runs Allowed,
ER, Earned Runs,
WP, Wild Pitches,
WHIP, Walks and Hits Per Inning Pitched,
ERA+, Earned Runs Average Plus,
BAA, Batted Average Against,
OBPA, On-Base Percentage Against,
SLGA, Slugging Percentage Against,
OPSA, On-base Percentage Plus Slugging Percentage Against,
H/9, Hits per 9 innings,
HR/9, Home Runs per 9 Innings,
BB/9, Base on Balls per 9 Innings,
SO/9, Strikeouts per 9 Innings,
XBHA%, Extra Base Hit Percentage,
FIP, Fielding Independent Pitching,
BAbipA, Batted Average on Balls in Play Against,
WPAp, Win Probability Added by Pitcher,
